employee_id,Advanced,Beginner,Intermediate
1003,1,0,2
1008,1,0,2
1011,1,0,0
1027,0,1,2
1044,0,1,1
1047,0,0,1
1049,0,0,2
1052,1,0,0
1053,1,2,0
1054,0,0,1
1056,1,1,1
1060,1,0,0
1073,0,0,3
1077,1,1,0
1099,1,1,0
1114,1,0,0
1143,1,0,0
1152,1,1,0
1153,1,1,1
1158,1,0,2
1161,0,1,0
1162,2,0,0
1172,0,2,1
1180,0,2,0
1190,1,1,0
1192,0,1,1
1203,0,2,0
1209,1,1,0
1238,0,0,2
1246,2,0,1
1247,0,1,2
1274,0,1,2
1280,1,2,0
1285,0,1,0
1286,0,0,1
1288,1,0,0
1296,1,0,0
1297,1,0,0
1318,1,0,0
1342,2,1,0
1345,0,0,1
1349,1,0,2
1359,0,0,1
1362,1,1,1
1369,3,0,0
1377,0,1,0
1379,0,1,0
1382,1,0,1
1384,1,0,1
1392,0,0,2
1400,0,1,1
1414,1,1,1
1415,1,0,2
1420,0,1,0
1429,1,0,1
1475,1,0,0
1478,1,0,0
1503,0,1,1
1506,1,1,1
1528,1,0,0
1534,0,0,3
1537,0,2,1
1539,1,1,0
1554,1,0,1
1574,0,1,2
1578,0,1,1
1586,1,0,0
1590,1,0,1
1593,0,0,1
1603,0,1,1
1624,1,1,1
1628,0,0,3
1630,0,1,0
1633,1,0,1
1639,0,0,1
1646,1,0,0
1656,0,2,0
1674,0,1,1
1688,1,2,0
1692,2,0,0
1694,1,1,1
1699,2,0,1
1710,0,0,1
1717,1,0,0
1732,1,0,2
1735,0,1,2
1738,0,1,1
1755,1,0,1
1766,2,0,0
1767,0,0,1
1771,0,2,0
1775,1,1,0
1796,1,1,0
1842,1,0,0
1859,1,0,0
1868,1,0,2
1875,2,0,1
1886,0,1,0
1888,1,0,0
1898,0,1,1
1906,1,0,0
1912,1,0,1
1913,0,1,2
1917,3,0,0
1924,2,1,0
1931,1,1,1
1948,0,1,2
1960,0,0,1
1971,1,1,0
1975,0,1,1
1977,0,0,1
1979,0,2,1
1980,0,2,1
1984,1,0,2
1987,1,0,0
1988,0,0,1
2000,0,1,0
2003,0,1,0
2016,1,0,0
2020,2,0,0
2040,0,1,1
2041,0,1,2
2062,0,0,2
2074,1,0,0
2075,0,1,2
2091,1,0,0
2120,0,0,2
2133,2,0,0
2136,0,3,0
2152,0,1,0
2167,2,0,0
2201,1,2,0
2203,0,1,0
2219,0,0,1
2224,1,0,0
2228,0,2,0
2254,3,0,0
2255,1,1,1
2261,0,1,1
2271,1,1,1
2280,1,0,1
2281,2,0,0
2284,0,0,1
2296,1,0,2
2301,0,1,2
2305,0,0,2
2316,1,1,1
2321,1,0,0
2346,1,0,2
2363,0,0,2
2380,0,1,0
2413,2,0,0
2438,1,0,0
2447,1,0,0
2463,1,1,1
2467,0,1,2
2479,2,0,0
2482,0,1,1
2489,0,1,1
2499,0,1,0
2506,1,0,2
2515,1,1,1
2520,1,1,1
2525,0,0,1
2541,0,0,2
2542,1,1,1
2545,0,2,1
2547,1,0,0
2549,0,1,0
2550,0,1,1
2565,2,0,0
2566,1,2,0
2569,1,0,0
2580,0,1,0
2591,1,0,1
2598,0,1,1
2605,3,0,0
2609,0,0,1
2610,1,0,2
2633,0,0,3
2635,0,0,1
2637,1,0,0
2653,1,2,0
2682,2,0,0
2695,1,0,2
2698,0,0,2
