employee_certificate_id,employee_id,certification_id
30421,19703,4
74588,19703,1
45000,19703,11
12076,19703,16
75961,63105,17
91445,63105,15
1387,63105,18
8721,5552,2
16411,5552,10
7002,5552,9
28692,77951,16
44157,77951,14
74401,77951,15
39796,27713,4
19746,27713,5
60250,75539,1
64691,75539,9
99501,75539,7
14254,98368,10
63276,45570,18
59222,86558,10
83542,86558,15
4685,26989,15
94855,26989,11
37253,15031,16
77556,15031,13
49114,37403,5
92141,37403,1
73442,37403,16
5959,37403,13
84781,75288,17
41749,75288,15
83002,18470,18
60093,18470,1
2789,18470,12
21512,18470,20
96287,31666,19
83047,31666,9
91937,97461,14
34585,97461,10
15200,34764,15
30089,34764,20
51550,74767,2
57773,74767,3
86462,67759,12
27163,67759,7
47010,52909,6
5635,52909,16
2462,52909,20
98914,52909,8
13061,52909,7
24324,5443,16
71478,43717,5
6045,43717,4
60873,43717,17
8731,43717,18
35018,43717,2
9356,16239,6
85519,16239,18
17301,16239,12
99809,28850,3
50855,27706,3
41751,27706,18
19855,27706,10
35943,27706,17
75972,27706,7
75727,24407,11
40340,24407,4
5957,24407,8
77389,24407,15
4543,23637,19
67448,24724,16
73213,24724,20
92166,24724,12
45263,24724,11
48268,48156,1
92584,48156,6
13030,48156,4
93663,95602,19
6189,95602,18
14114,95602,5
92148,95602,15
79741,19322,8
12368,97467,16
66819,97467,4
28135,93429,6
83225,93429,13
30162,93429,12
50225,93429,20
85904,93429,18
82315,2290,18
91397,2290,11
29795,65188,15
10118,39001,4
95382,39001,11
8892,39001,10
99209,39001,19
92437,91674,7
46029,91674,16
38697,91674,15
43192,91674,11
22945,91674,9
16967,32501,9
28905,32501,2
89882,32501,20
51084,48568,17
78153,48568,18
35416,48568,14
65566,48568,3
44150,48568,2
66757,97147,14
49519,55845,20
53724,55845,19
69161,55845,2
94357,99728,14
56244,99728,12
72383,99728,6
21984,86011,17
55191,86011,18
73148,32262,6
31078,32262,7
79614,32262,3
76784,32262,17
6491,44345,12
7086,44345,14
88648,44345,18
73321,57337,13
24952,57337,8
42426,57337,3
53863,57337,12
20710,57337,4
82383,86976,3
22778,86976,1
20116,86976,7
14476,86976,10
45969,86976,12
65525,69393,1
5638,29767,3
98183,29767,20
26377,29767,5
51671,29767,11
39776,29767,15
16462,63179,1
24130,99222,16
84470,99222,8
93260,99222,2
98998,99222,4
93999,39997,17
96923,39997,4
96259,39997,13
81435,10729,11
38618,10729,16
46360,90810,16
26457,90810,17
73912,90810,4
73156,90810,11
85149,78491,10
29425,15903,13
80695,15903,14
18989,15903,4
61412,15903,1
34285,15903,15
36985,38407,2
97969,38407,14
87844,38407,19
18049,7634,19
75827,7634,4
67247,7634,12
1765,7634,16
30857,22948,14
21411,22948,5
95207,22948,15
11350,22948,3
74794,1076,18
92906,1076,1
83508,1076,13
17510,1076,10
23479,73493,20
2105,73493,18
65374,29818,19
71742,29818,4
70799,41423,11
77336,27891,4
21528,27891,8
8434,27891,11
84452,27891,15
19295,27891,3
13895,57571,18
92656,57571,17
60615,57571,16
58379,11841,9
15057,11841,18
54865,11841,12
30633,11841,2
39873,11841,10
46869,23115,4
82139,10816,15
5219,10816,2
56094,10816,6
81029,10816,16
17961,10816,17
40511,46583,1
26955,46583,18
5032,46583,16
39071,46583,11
65616,31956,7
28901,31956,3
39155,37696,10
92614,37696,12
4946,3120,8
93681,3120,12
62349,3120,10
71739,3120,2
87398,3120,14
66645,20110,7
93345,20110,4
60917,20110,20
89666,20110,13
29250,20110,14
52874,75130,15
36285,81582,10
26593,81582,11
61682,81582,17
30335,81582,19
81495,81582,12
39178,58721,10
47116,58721,20
77609,58721,12
64566,53886,11
59041,53886,18
53134,53886,19
25979,53886,16
63138,6302,14
74543,6302,4
89839,61356,6
43101,61356,4
7684,61356,2
25515,35791,8
36917,35791,1
56211,35791,17
69308,35791,18
17875,35791,2
54759,96988,13
63659,96988,8
49429,96988,3
92618,59924,11
5470,59924,10
65404,59924,1
77783,59924,14
10741,22625,1
93403,22625,18
29894,48057,8
77301,48057,11
59337,80067,7
30677,80067,12
93293,80067,9
57402,80067,5
75910,20141,20
10735,20141,14
69504,20141,16
80407,93152,16
48437,93152,9
10570,93152,19
11999,90972,16
63113,94808,3
41614,94808,2
4676,94808,20
18798,94808,15
93916,94808,12
92089,92261,15
87707,92261,20
37165,92261,7
54475,42898,14
29843,42898,13
93765,42898,20
15604,79459,5
44574,41182,6
20382,41182,14
21152,14214,16
13005,14214,1
53576,14214,10
21756,33959,3
16625,33959,14
89104,33959,20
77781,33959,4
91095,10588,10
87938,10588,20
90660,10588,8
56370,10588,14
67454,12977,8
55059,12977,1
39487,12977,12
50039,12977,14
33094,18601,6
16221,18601,9
98347,69713,1
92102,69713,20
13263,69713,11
6586,12990,9
70001,12990,15
29401,73351,3
45248,73351,1
55016,73351,6
76487,73351,2
93532,73351,10
10692,35306,9
42203,35306,12
24922,42435,5
94465,42435,3
52338,42435,20
89067,42435,14
60980,72056,14
26520,72056,20
23132,72056,18
75123,72056,11
91746,66988,16
31472,66988,11
78522,66988,14
67381,66988,6
58053,66988,10
82898,46128,2
65068,46128,1
62880,46128,11
3427,25453,2
8903,56924,13
98906,56924,2
54083,56924,18
71769,56924,17
88913,63196,16
40575,63196,3
27033,63018,15
38987,63018,5
35379,63018,18
24468,63018,1
91481,68578,11
49056,68578,1
14375,68578,18
44961,68578,17
74125,78753,17
4326,78753,13
8806,78753,20
24054,78753,8
61298,78753,4
80955,43493,8
20957,90578,8
33567,17103,20
83114,17103,5
7949,36899,2
39760,3226,4
41334,27893,8
10819,27893,12
54288,27893,15
91308,49074,3
72573,49074,1
68252,49074,20
44578,50399,9
31733,50399,12
12804,50399,10
29684,50399,8
49259,50399,4
99352,7334,14
31373,37202,18
1776,37202,6
44824,86017,5
94214,86017,18
56710,86017,10
70154,22581,14
17921,22581,15
46266,22581,13
98035,19267,16
60731,19267,12
93042,19267,9
18588,19267,4
91030,19267,18
13752,75571,6
99587,75571,14
64628,75571,10
70241,75571,11
87921,8114,20
78250,8114,4
60058,8114,7
5276,99805,20
44341,87348,16
31744,59042,15
89490,59042,13
98091,59042,20
22918,92422,8
82174,92422,3
57658,92422,16
19179,62956,12
45777,96683,2
12654,94576,2
33163,94576,9
19834,94576,12
70403,94576,11
48819,89821,5
97951,89821,2
18102,89821,20
91442,89821,13
23982,1223,19
28345,29280,19
4521,99355,5
70209,99355,1
69721,99355,12
36296,60861,18
33140,60861,2
51079,53020,7
50249,53020,6
2046,4754,11
9570,4754,9
42180,11475,2
64930,11475,6
21159,11475,17
5502,19348,1
99483,19348,8
9012,79981,1
89541,79981,11
10334,79981,2
84349,79981,7
62926,20665,8
18555,20665,7
74312,99608,9
95075,99608,12
59241,68980,18
23143,16684,16
20308,16684,15
87777,16684,1
16264,25551,3
49569,25551,15
68146,25551,1
77179,27916,20
46000,27916,15
27735,27916,14
15910,27916,13
86932,27916,17
67664,30214,10
87996,30214,11
2667,30214,18
80002,11449,15
95194,11449,11
46984,47159,17
35926,47159,2
69793,98986,5
91760,98986,2
89813,98986,19
82115,98986,13
13233,98986,11
78873,85647,10
65494,56607,18
2034,56607,17
94837,56607,5
89829,83197,11
96694,24978,20
83561,24978,6
3712,82259,10
79707,82259,6
97363,82259,7
86796,82259,1
48331,82259,5
23605,1697,5
12469,1697,17
31837,1414,16
84805,1414,20
41255,1414,8
21852,1414,5
65594,1414,17
40971,66219,19
48055,66219,18
49122,66219,1
7608,66219,15
74577,66219,10
12112,78904,13
71196,78904,11
99525,78904,4
95633,78904,3
97804,78904,17
21910,35059,15
87891,35059,18
59972,35059,9
28753,35059,7
26354,35059,2
99343,47001,12
83020,47001,7
61149,47001,10
64632,47001,4
52425,47001,18
53677,38417,3
54380,38417,14
34420,38417,18
37091,38417,6
21316,38417,20
16114,93959,4
39853,65579,7
28092,65579,6
31461,65579,3
40096,65579,17
27944,65579,8
80476,31163,5
28501,31163,10
8358,31163,20
90360,31163,7
49958,31163,17
71156,56864,11
91720,88535,15
76544,31109,18
82847,31109,2
99861,31109,16
10202,31109,8
96579,31109,11
9965,9955,11
41656,9955,2
23732,9955,15
94474,9955,12
75638,9955,9
76213,17012,20
52024,17012,5
42514,17012,1
45302,24722,20
63895,24722,10
39021,24722,14
40665,24722,17
91808,24722,11
54989,83958,18
91092,3718,12
95248,3718,18
97191,3718,2
18506,3718,7
81677,3718,16
78512,7246,11
46044,7246,14
83464,7246,8
10168,84066,19
2338,84066,13
15916,84066,18
58643,84066,6
44940,69274,2
3442,69274,4
73891,69274,10
63656,69274,8
54508,54101,4
67267,54101,11
9261,54101,16
34600,78469,11
47342,78469,3
12249,77140,4
49283,77140,1
31867,69622,8
67143,69622,3
64734,69622,15
50045,69622,14
69019,69622,17
97984,31565,12
60960,31565,1
80066,31565,2
67054,31565,11
7774,31565,8
71983,22687,18
45220,22687,1
18034,45641,4
93529,45641,10
5754,45641,20
35585,45641,3
87101,45641,11
43846,52341,19
51896,97027,5
44102,30052,18
23446,30052,20
97703,30052,2
82720,30052,19
26479,51331,7
7481,51331,13
24219,51331,11
1522,51331,20
90767,2089,20
14503,83100,13
65392,83100,7
54978,83100,10
92308,83100,15
49761,83100,1
58771,42614,18
39356,42614,11
51236,42614,5
12323,3561,19
33086,60982,9
51901,60982,4
37134,60982,13
60879,60982,5
96197,11196,14
32121,11196,16
26309,11196,13
46557,87251,20
25539,28923,8
70933,28923,13
52105,28923,20
89667,28923,15
64235,68116,3
34157,71898,20
65447,71898,19
91652,71898,9
33092,63313,17
16649,63313,19
26467,86904,16
2887,51177,12
44388,51177,13
38109,51177,19
65421,51177,7
71398,37032,17
20535,37032,9
52203,37032,6
95926,4780,2
70930,4780,16
17524,4780,9
80289,4780,18
40035,4780,8
26885,90515,20
38220,90515,2
23384,90515,16
81373,90515,10
45224,36748,4
24209,36748,17
80989,49344,1
72097,49344,9
35620,49344,19
2989,49344,18
34567,49344,6
60965,69540,10
28313,69540,6
39087,69540,11
56504,69540,9
21051,53461,19
26490,53461,8
15523,53461,14
81990,53461,12
72550,53461,1
83869,5326,17
88767,5326,13
34744,51051,20
96772,51051,15
62523,78160,7
55662,78160,6
77191,78160,14
6698,78160,12
67680,92921,11
58951,92921,6
91067,92921,18
55749,92921,13
76921,92921,1
94848,14092,13
84888,4087,6
1294,4087,10
5398,4087,20
45492,4087,19
3700,4087,18
81374,63135,8
20407,63135,10
30095,63135,12
18589,53165,3
76959,53165,9
53358,53165,14
7819,53165,2
11103,36927,9
71005,88189,14
30460,88189,16
30362,88189,5
49501,15688,17
63959,15688,13
31521,15688,1
13066,22282,20
70771,22282,9
57678,22282,10
81222,74659,7
96543,74659,8
75688,74659,12
45165,74659,19
7960,76476,3
62114,76476,2
17246,76476,1
85397,76476,14
24991,76476,19
58991,87749,18
18339,87749,3
3967,87749,9
59077,87749,1
31569,87749,5
29067,7166,18
69627,7166,20
22757,7166,8
84904,7166,14
97539,7166,9
1799,59094,6
41213,59094,16
82532,90033,6
80974,22723,15
68030,22723,16
54442,22723,7
71141,99452,12
53171,99452,4
54022,99452,15
4427,99452,16
51698,99452,14
91818,47088,1
24820,47088,3
22269,47088,12
82164,47088,15
38024,46070,11
19877,46070,17
48348,44285,16
22083,44285,8
50949,44285,9
22766,23166,6
61967,23166,11
83308,82618,18
49997,82618,4
12779,82618,20
70394,96841,11
33890,59850,3
51805,59850,7
2459,59850,8
38409,39244,5
56595,39244,2
99398,26353,8
17287,26353,12
71194,26353,14
39633,19897,9
86388,19897,2
93963,13323,5
39630,13323,1
66084,13323,12
54561,57542,9
80884,57542,5
25066,22738,8
87243,22738,13
29316,22738,7
4615,41594,18
86591,87026,15
75668,87026,12
51104,87026,1
46736,1348,13
56263,19062,8
11589,80622,12
89071,80622,9
21926,80622,1
46777,69685,14
75192,69685,1
33824,69685,6
30003,69685,16
74203,82756,4
7535,82756,8
41518,57123,15
25478,57123,5
78872,57123,3
96125,55798,17
1796,88831,20
3256,88831,11
33317,88831,6
43416,62102,9
84822,62102,2
83656,43505,19
76001,43505,5
45932,43505,9
58776,43505,14
38496,43505,2
9071,31397,10
52858,31397,17
27127,31397,20
27429,31397,7
59482,66367,4
32067,66367,1
88166,66367,2
79151,66367,3
74250,77651,12
31577,77651,8
39694,77651,1
82100,50224,17
94806,50224,14
48927,50224,9
96755,50224,4
2325,72976,16
68817,72976,2
58874,72976,18
48061,72976,12
3274,72976,14
13974,94615,7
74120,94615,10
60357,94615,5
15218,94615,12
42598,94615,2
64992,94284,10
30692,94284,4
59588,94284,3
86968,94284,12
68305,94284,2
68696,98307,9
4845,98307,10
67251,98307,11
25254,98307,3
76394,98307,20
5328,15008,12
2560,15008,19
25116,15008,20
13208,70249,7
64757,70249,11
25307,70249,12
30569,85466,17
70124,85466,12
20815,85466,11
8583,34705,20
54204,94726,6
34988,94726,4
31591,94726,19
71572,62460,20
81415,62460,9
92285,62460,15
73042,62460,13
37915,71471,9
74159,71471,16
33075,71471,12
8879,33774,13
88685,33774,12
34173,12221,1
78048,82138,7
46447,82138,5
89044,82138,17
14204,82138,4
5437,82138,9
22107,79342,18
68390,79342,15
37502,55711,10
41633,55711,2
88456,55711,19
23690,55711,20
41293,55711,4
38269,42584,9
55248,42584,4
22829,16806,15
17511,16806,9
49849,16806,13
9416,16806,20
21625,16806,14
14442,88751,11
92968,88751,7
2955,88751,16
2318,88751,14
35729,7273,15
56107,7273,13
35015,7273,19
99265,23559,9
8610,23559,2
24605,23559,14
64939,23559,1
65311,70522,20
63039,4986,12
73605,35377,11
29309,35377,20
31499,6363,3
92527,6363,10
13420,6363,5
49367,36370,17
7455,36370,12
78896,36370,19
73580,36370,20
9414,36370,13
71216,40787,5
85412,40787,10
16902,40787,13
15225,4667,11
84980,4667,17
12280,4667,1
95032,4667,6
8056,4667,4
1741,44849,18
62173,44849,2
6832,44849,4
17435,15325,6
54184,15325,13
98292,15325,15
76275,15325,1
30239,55033,19
33837,55033,1
58840,55033,13
20006,55033,16
98492,45979,1
88015,45979,10
1570,45979,15
48191,45979,9
44693,4526,9
62794,4526,6
54831,4526,19
26462,4526,5
11379,79467,11
24548,79467,8
48707,85330,9
86527,85330,17
28210,85330,14
92802,85330,16
97419,40415,12
34267,40415,16
74324,40415,17
99177,40415,18
90226,40415,8
21671,31938,13
9217,5898,19
43394,5898,16
61736,5898,8
39685,5898,9
85147,32617,16
72184,32617,2
15705,32617,13
3176,32617,3
59336,32617,15
62329,75268,8
52174,75268,11
64572,75268,20
58080,49986,12
55986,49986,17
9046,49986,5
53424,7138,19
8382,7138,15
73966,7138,1
35273,7138,4
85575,5257,4
66150,5257,20
51412,5257,6
45250,5257,2
94998,14158,5
62125,21240,8
98276,21240,18
17723,21240,17
74667,21240,7
21611,55523,7
2901,63992,9
4014,63992,16
83827,38865,15
37962,38865,8
35899,28824,9
63259,28824,12
45029,21151,14
94943,82747,12
79752,82747,18
31477,82747,4
39847,82747,16
23245,15419,10
91407,34867,3
4126,34867,14
27314,34867,1
42290,34867,13
24485,34867,19
28315,94246,5
90552,94246,7
64384,94246,4
43709,94246,11
90672,36886,7
1954,36886,10
23375,36886,19
21727,36886,6
73500,36886,1
96321,49549,19
50625,49549,15
11116,49549,7
91303,49549,6
59734,49549,13
85598,20203,12
59395,20203,16
60160,20203,13
20829,20203,11
14038,76120,5
80237,53566,3
79930,53566,10
71108,27274,2
32514,27274,17
71363,27274,20
29110,41940,2
58717,41940,9
46649,41940,13
87515,41940,11
12212,42823,15
54385,42823,11
20609,42823,2
65002,42823,19
94976,75530,17
91509,75530,7
76216,75530,3
9815,1955,3
7479,1955,14
84811,1955,9
63486,1955,16
56424,84454,9
32157,84454,11
29720,84454,3
24220,84454,17
80952,84454,13
29692,59164,10
21800,59164,19
78242,59164,6
87553,59164,16
39011,59164,20
80615,32930,10
33755,32930,17
19215,14053,13
31785,14053,7
92856,75773,8
59355,75773,2
19145,75773,7
76276,75773,9
97660,55302,1
47974,55302,6
75133,55302,19
13182,55302,2
33987,55302,11
58716,41016,2
94112,41016,13
84506,51109,2
30249,51109,6
77699,51109,15
57287,51109,19
19128,51109,17
13029,27186,17
6193,27186,1
67007,27186,11
73644,27186,4
22098,27186,3
68223,62740,6
85587,62740,8
12040,62740,2
54833,87720,5
92851,87720,19
3799,6298,11
29253,6298,7
16463,6298,3
99143,6298,17
48746,95941,3
35451,95941,4
42855,95941,16
90575,95941,2
62506,36978,19
50072,36978,14
98267,75504,4
67955,75504,5
84275,75504,11
66181,56621,13
99179,56621,16
57789,56621,14
66124,56621,9
20959,80364,4
99096,80364,9
54230,80364,7
99364,80364,20
40250,68055,15
88612,68055,19
14590,68055,1
99678,93134,8
97065,93134,6
46104,93134,3
9447,93134,19
63331,93134,10
68835,19012,18
12789,19012,1
41039,19012,20
62197,34564,16
62057,34564,13
38646,34564,8
26224,34564,3
53232,34564,2
96153,58028,1
43046,58028,19
25820,58028,12
22567,58028,2
49619,17383,7
14481,17383,9
86412,17383,10
54776,17383,19
79471,41432,12
91292,41432,4
11467,41432,20
62627,41432,16
58847,61508,15
6774,77465,9
97510,77465,18
85654,77465,1
29395,86031,15
86022,86031,9
26974,86031,10
13772,86031,5
98739,86031,13
6836,15003,10
25787,15003,18
12744,15003,4
80123,41322,2
75499,41322,5
53016,41322,13
52353,41322,18
14432,49376,10
42496,49376,6
83859,49376,1
15207,49376,15
28912,8636,13
21071,8636,15
3149,43513,9
39119,27528,12
66037,27528,7
2412,36846,3
60193,36846,11
9841,36846,15
87372,88781,3
5269,88781,16
48940,18033,13
84566,18033,5
69623,18033,15
86915,18033,3
82043,18033,1
43289,47784,14
40153,47784,9
34435,47784,18
3356,47784,12
21550,47784,11
9680,22640,8
7576,22640,9
93055,22640,3
4006,22640,20
84825,22640,14
5104,81300,4
39777,81300,5
47511,36723,9
19848,36723,17
87964,36723,4
