employee_id,course_id
19703,7
19703,8
63105,3
5552,9
5552,8
5552,7
77951,6
27713,6
27713,5
27713,4
75539,10
75539,12
75539,11
98368,7
98368,9
45570,7
86558,10
86558,11
26989,1
15031,2
15031,1
37403,7
61436,11
61436,10
61436,12
75288,6
18470,3
31666,10
31666,11
97461,10
34764,9
34764,7
34764,8
74767,10
67759,6
67759,4
67759,5
23666,8
52909,9
52909,8
5443,10
5443,12
12886,10
43717,9
65146,10
65146,12
16239,11
28850,7
72115,1
72115,2
72115,3
27706,10
27706,11
27706,12
24407,7
24407,9
99579,12
99579,10
9272,1
9272,2
23637,1
23637,2
24724,11
24724,12
24724,10
48156,1
95602,12
95602,11
95602,10
7881,8
19322,4
19322,5
19322,6
97467,1
97467,3
97467,2
93429,11
93429,10
93429,12
46882,12
2290,6
65188,12
39001,12
39001,10
39001,11
91674,1
29502,11
29502,12
29502,10
32501,4
32501,5
32501,6
48568,12
48568,11
97147,9
97147,8
55845,2
55845,3
55845,1
99728,4
99728,6
99728,5
86011,2
86011,3
32262,4
44345,4
44345,5
57337,8
86976,4
69393,12
69393,11
69393,10
29767,11
29767,10
63179,8
63179,7
63179,9
99222,12
39997,9
39997,7
10729,4
10729,6
90810,10
90810,12
78491,1
15903,6
38407,4
38407,6
7634,12
7634,11
7634,10
22948,9
22948,7
22948,8
1076,6
73493,10
73493,12
73493,11
29818,11
41423,6
41423,4
24667,1
27891,12
27891,10
27891,11
57571,4
57571,5
57571,6
11841,8
11841,9
11841,7
23115,1
23115,3
10816,2
46583,9
46583,7
31956,8
31956,7
37696,10
3120,3
3120,2
20110,11
75130,5
75130,6
75130,4
81582,3
36104,2
36104,3
36104,1
58721,8
53886,2
79433,5
79433,4
6302,12
31198,2
31198,1
31198,3
61356,10
61356,12
35791,8
96988,10
59924,4
59924,5
59924,6
22625,4
22625,5
22625,6
48057,2
48057,1
80067,7
20141,7
93152,1
93152,3
34488,2
90972,10
94808,3
94808,1
92261,6
92261,5
92261,4
42898,7
42898,9
79459,3
79459,1
41182,4
41182,5
14214,7
14214,9
14214,8
33959,8
33959,7
33959,9
10588,1
12977,3
12977,1
18601,5
18601,6
69713,3
69713,1
69713,2
12990,9
12990,8
73351,6
73351,4
73351,5
35306,1
42435,7
42435,9
72056,1
72056,2
72056,3
66988,12
66988,10
66988,11
46128,10
46128,12
46128,11
25453,12
56924,9
56924,7
56924,8
63196,9
63018,1
63018,2
68578,5
68578,6
68578,4
78753,9
78753,7
43493,8
43493,9
90578,2
79686,9
79686,8
79686,7
55581,8
17103,7
17103,9
17103,8
22692,6
36899,12
3226,2
27893,9
49074,10
49074,12
49074,11
50399,9
50399,7
50399,8
7334,5
7334,4
37202,5
86017,8
86017,9
86017,7
22581,2
19267,1
75571,12
75571,10
8114,7
8114,9
99805,9
99805,7
60882,5
57729,4
57729,6
54891,2
54891,1
87348,9
59042,6
70841,1
92422,12
92422,10
92422,11
62956,1
96683,1
96683,2
96683,3
94576,11
94576,10
89821,4
89821,6
89821,5
1223,8
29280,2
99355,5
60861,7
60861,8
60861,9
3614,6
3614,5
3614,4
53020,3
53020,2
4754,9
4754,8
4754,7
11475,2
11475,3
19348,12
19348,10
19348,11
79981,7
79981,8
20665,4
20665,6
20665,5
99608,11
99608,12
20600,2
20600,1
20600,3
68980,11
68980,12
16684,9
16684,7
16684,8
25551,4
27916,8
27916,9
83342,1
83342,3
83342,2
16009,10
16009,11
16009,12
30214,4
30214,6
11449,12
47159,4
98986,8
85647,5
85647,4
56607,4
56607,5
83197,4
83197,5
83197,6
24978,8
24978,9
82259,5
1697,4
1697,6
1697,5
1414,5
1414,4
1414,6
66219,11
66219,10
64473,12
64473,10
64473,11
78904,3
78904,2
19354,9
19354,7
54099,9
54099,8
35059,6
35059,4
47001,2
47001,3
38417,10
93959,9
93959,7
65579,2
9901,6
9901,4
31163,10
31163,11
56864,8
56864,7
26932,7
26932,9
26932,8
88535,4
31109,12
31109,10
9955,1
9955,3
9955,2
93938,6
93938,5
17012,8
17012,7
24722,10
24722,12
11586,10
11586,11
83958,5
3718,6
7246,5
84066,6
84066,4
84066,5
69274,8
69274,7
69274,9
54101,10
78469,6
78469,4
78469,5
77140,4
77140,5
69622,6
69622,4
42889,1
42889,2
31565,2
31565,1
31565,3
22687,1
45641,6
45641,4
