employee_id,skill_id,skill_level,skill_progress
19703,19,Intermediate,97
63105,1,Beginner,30
5552,17,Beginner,3
5552,11,Beginner,8
77951,7,Beginner,5
77951,19,Advanced,98
27713,4,Intermediate,60
27713,3,Intermediate,81
75539,7,Beginner,52
75539,19,Intermediate,95
98368,14,Beginner,61
45570,8,Advanced,12
45570,10,Beginner,66
45570,2,Intermediate,57
86558,15,Advanced,45
26989,15,Intermediate,11
26989,1,Beginner,95
15031,15,Beginner,19
15031,6,Beginner,15
37403,14,Advanced,44
37403,1,Advanced,83
61436,11,Beginner,63
75288,3,Advanced,58
18470,17,Beginner,5
31666,15,Advanced,48
31666,14,Beginner,28
97461,18,Beginner,27
97461,9,Intermediate,79
97461,3,Advanced,69
34764,19,Beginner,1
74767,16,Intermediate,56
74767,1,Beginner,85
74767,2,Advanced,38
67759,10,Beginner,67
67759,4,Intermediate,72
23666,19,Beginner,69
52909,14,Advanced,25
5443,14,Beginner,2
5443,17,Beginner,100
5443,7,Intermediate,89
12886,12,Advanced,12
12886,18,Beginner,88
12886,3,Beginner,23
43717,3,Beginner,60
65146,9,Advanced,100
65146,17,Advanced,45
65146,4,Beginner,77
16239,11,Intermediate,68
16239,6,Beginner,4
28850,17,Beginner,42
28850,15,Beginner,39
72115,5,Advanced,3
72115,12,Beginner,29
72115,17,Advanced,86
27706,11,Intermediate,32
27706,13,Intermediate,24
27706,9,Intermediate,64
24407,3,Advanced,50
24407,18,Advanced,58
24407,19,Advanced,0
99579,7,Intermediate,82
99579,4,Advanced,81
9272,19,Beginner,3
23637,8,Intermediate,34
24724,11,Beginner,81
48156,13,Intermediate,52
48156,5,Intermediate,87
95602,12,Beginner,22
95602,11,Beginner,25
7881,12,Beginner,64
19322,14,Intermediate,46
97467,14,Advanced,91
97467,1,Beginner,3
93429,10,Intermediate,87
93429,9,Beginner,33
93429,20,Intermediate,81
46882,5,Beginner,79
46882,14,Beginner,12
2290,18,Advanced,95
65188,17,Intermediate,21
39001,15,Beginner,13
39001,8,Advanced,9
39001,9,Beginner,73
91674,17,Intermediate,46
91674,5,Advanced,19
29502,11,Advanced,42
32501,16,Intermediate,43
32501,11,Advanced,70
32501,12,Beginner,68
48568,12,Intermediate,40
48568,4,Advanced,53
48568,6,Beginner,17
97147,12,Advanced,15
97147,18,Beginner,71
55845,8,Beginner,45
99728,17,Beginner,97
99728,18,Beginner,32
99728,1,Beginner,89
86011,2,Advanced,5
86011,12,Intermediate,80
86011,13,Beginner,22
32262,17,Intermediate,70
32262,12,Intermediate,0
44345,5,Intermediate,22
44345,4,Intermediate,35
57337,11,Intermediate,83
57337,1,Advanced,2
57337,10,Beginner,75
86976,4,Advanced,76
69393,7,Advanced,67
69393,11,Advanced,6
29767,8,Beginner,98
29767,7,Intermediate,99
29767,1,Advanced,88
63179,18,Intermediate,18
63179,17,Intermediate,93
63179,4,Beginner,13
99222,2,Beginner,58
99222,10,Advanced,29
39997,12,Intermediate,33
39997,6,Intermediate,15
39997,2,Intermediate,95
10729,19,Beginner,51
10729,9,Advanced,59
10729,6,Advanced,61
90810,16,Advanced,72
90810,20,Beginner,96
90810,11,Intermediate,71
78491,5,Intermediate,13
78491,3,Advanced,10
15903,17,Beginner,59
15903,14,Beginner,100
38407,12,Intermediate,55
38407,8,Intermediate,25
38407,15,Beginner,81
7634,2,Advanced,22
22948,1,Advanced,49
22948,13,Beginner,3
1076,5,Intermediate,92
1076,12,Beginner,79
1076,20,Beginner,51
73493,8,Advanced,68
73493,7,Advanced,74
29818,20,Beginner,24
29818,6,Beginner,9
29818,4,Advanced,100
41423,13,Beginner,55
24667,15,Intermediate,91
27891,20,Beginner,78
27891,17,Advanced,42
27891,1,Advanced,19
57571,14,Beginner,46
57571,19,Intermediate,4
11841,10,Advanced,84
11841,18,Advanced,21
23115,9,Intermediate,70
23115,10,Beginner,58
23115,1,Intermediate,39
10816,11,Intermediate,3
10816,6,Intermediate,85
46583,11,Intermediate,3
46583,4,Advanced,27
46583,8,Advanced,40
31956,16,Beginner,68
31956,1,Beginner,87
37696,16,Advanced,98
37696,5,Advanced,62
37696,13,Intermediate,47
3120,9,Intermediate,10
20110,12,Beginner,48
75130,5,Beginner,84
81582,13,Intermediate,38
36104,13,Beginner,61
36104,1,Intermediate,0
36104,9,Intermediate,60
58721,9,Advanced,55
53886,9,Advanced,50
53886,1,Intermediate,9
79433,1,Beginner,88
79433,7,Beginner,46
6302,8,Advanced,10
6302,20,Beginner,0
6302,12,Advanced,36
31198,11,Advanced,30
61356,14,Beginner,88
61356,13,Intermediate,93
35791,4,Intermediate,71
35791,5,Beginner,9
35791,15,Intermediate,94
96988,15,Intermediate,15
96988,14,Intermediate,97
96988,2,Advanced,20
59924,11,Intermediate,9
59924,12,Intermediate,6
22625,2,Advanced,81
22625,19,Intermediate,3
48057,6,Intermediate,84
80067,5,Advanced,81
80067,20,Beginner,3
20141,7,Intermediate,11
20141,3,Advanced,69
20141,9,Advanced,100
93152,15,Advanced,7
93152,9,Beginner,37
93152,18,Intermediate,35
34488,4,Beginner,63
34488,12,Intermediate,71
34488,6,Intermediate,59
90972,19,Beginner,25
90972,6,Beginner,49
94808,11,Intermediate,31
94808,15,Intermediate,84
92261,7,Beginner,61
92261,18,Beginner,34
92261,14,Advanced,58
42898,3,Intermediate,39
42898,2,Beginner,21
42898,17,Intermediate,3
79459,14,Intermediate,11
41182,8,Beginner,98
14214,6,Beginner,20
14214,8,Beginner,53
14214,1,Beginner,83
33959,18,Intermediate,96
33959,6,Intermediate,97
10588,12,Intermediate,81
10588,11,Beginner,47
12977,10,Advanced,58
12977,4,Advanced,59
18601,7,Beginner,95
69713,3,Advanced,74
69713,18,Beginner,44
69713,1,Advanced,51
12990,7,Beginner,39
12990,10,Intermediate,67
12990,19,Intermediate,20
73351,4,Advanced,69
35306,7,Advanced,57
35306,4,Intermediate,47
35306,9,Beginner,94
42435,1,Intermediate,92
