employee_certificate_id,employee_id,certification_id
12061,35969,13
2143,35969,15
29757,35969,5
68550,35969,11
9481,35969,1
68975,44092,12
73308,10956,6
18714,10956,7
84858,10956,20
75661,10956,5
89192,91363,18
32024,91363,3
50414,91363,7
56547,91363,2
84194,77613,4
26542,77613,5
68824,77613,10
12926,77613,13
12653,74759,14
17147,74759,6
65034,87412,17
90307,5578,2
53770,5578,16
29430,3199,12
51584,3199,1
29320,3199,2
12836,3199,3
62635,3199,7
13674,85825,18
10029,85825,13
97033,85825,1
38118,17126,1
23345,17126,16
82553,17126,17
47213,17126,15
64577,84948,9
11798,84948,18
4896,84948,7
37204,84948,4
44034,84948,2
66522,72204,2
42697,72204,13
27950,72204,9
48400,72204,4
21315,21660,16
2490,21660,11
5652,8101,4
81548,8101,13
50216,85419,13
84348,85419,3
28337,65981,18
74596,65981,17
65662,19077,8
72314,19077,14
20902,19077,2
50716,64310,3
40308,64310,19
74885,64310,5
51251,64310,16
40459,64310,7
93111,77039,2
18124,77039,16
78910,77039,5
52309,77039,6
30273,34292,15
14153,75598,6
81992,67055,3
70884,67055,2
62753,67055,20
52918,67055,6
95590,72688,18
47552,62371,4
3203,6350,10
88483,6350,2
77945,6350,14
31448,6350,8
59860,40575,3
79693,40575,19
1388,40575,17
31830,96755,14
71439,96755,18
34512,96755,9
21557,96755,19
33650,3102,13
58865,3102,6
69486,2541,12
15227,68728,2
5830,68728,3
55115,68728,16
2031,68728,9
47061,61400,16
33455,6302,11
60175,6302,4
36025,21339,20
44307,21339,2
18298,21339,6
78709,15638,3
50755,15638,6
54482,81368,19
92441,21512,2
40110,21512,20
28561,21512,13
20471,21512,10
35036,1732,17
28972,64441,11
8607,64441,18
50637,14927,9
59543,51605,17
87016,51605,12
5933,3797,13
15511,50879,8
95309,21343,14
28706,92605,18
97246,92605,17
10599,92605,6
2618,71873,16
39948,71873,15
58828,71873,7
62663,71873,14
5693,71873,3
74947,35723,13
45520,37696,20
39239,19152,20
57603,2713,19
11822,2713,14
72477,2713,10
3938,1153,11
22974,50145,19
91927,55410,14
27942,55410,12
94065,7067,9
93244,7067,5
63092,25669,15
79302,25669,12
31318,25669,20
60941,25669,1
6066,25669,10
98257,99506,11
