employee_id,skill_id,skill_level,skill_progress
35969,10,Intermediate,15
44092,1,Advanced,98
84118,13,Intermediate,82
10956,14,Beginner,50
91363,13,Advanced,52
77613,12,Advanced,83
77613,2,Beginner,31
74759,16,Advanced,10
74759,1,Intermediate,55
87412,3,Intermediate,66
87412,17,Intermediate,86
5578,8,Beginner,57
5578,12,Intermediate,6
5578,18,Beginner,83
3199,8,Intermediate,52
3199,2,Advanced,91
85825,14,Advanced,21
85825,15,Intermediate,90
17126,19,Beginner,92
84948,19,Beginner,75
84948,17,Advanced,96
84948,8,Beginner,48
72204,1,Intermediate,17
81978,19,Beginner,19
81978,10,Beginner,62
21660,11,Beginner,37
8101,6,Intermediate,34
85419,20,Intermediate,100
58981,5,Advanced,26
65981,1,Advanced,94
65981,15,Advanced,90
65981,16,Advanced,2
19077,20,Beginner,26
64310,8,Advanced,93
64310,2,Advanced,54
64310,4,Beginner,21
77039,4,Advanced,45
38790,16,Advanced,72
38790,5,Beginner,46
50307,19,Intermediate,84
50307,12,Advanced,88
50307,17,Intermediate,31
34292,12,Advanced,36
34292,2,Advanced,24
34292,9,Intermediate,24
75598,15,Intermediate,59
75598,5,Intermediate,73
75598,6,Advanced,94
67055,18,Intermediate,4
67055,1,Beginner,61
67055,4,Beginner,35
72688,4,Beginner,91
62371,3,Advanced,83
6350,2,Advanced,95
71191,18,Beginner,14
71191,16,Intermediate,24
40575,10,Beginner,57
96755,10,Beginner,37
96755,15,Beginner,67
96755,7,Beginner,67
3102,13,Intermediate,17
3102,14,Advanced,31
3102,8,Beginner,62
2541,18,Intermediate,100
2541,5,Intermediate,55
68728,6,Advanced,1
68728,4,Intermediate,91
68728,14,Intermediate,45
61400,15,Beginner,55
6302,17,Intermediate,22
46369,12,Intermediate,26
46369,14,Advanced,44
21339,7,Intermediate,36
21339,15,Advanced,20
15638,20,Advanced,27
15638,12,Beginner,37
81368,1,Beginner,35
95477,19,Intermediate,50
95477,3,Beginner,71
95477,15,Advanced,5
43746,18,Advanced,52
43746,2,Advanced,33
21512,13,Intermediate,13
21512,7,Advanced,31
1732,16,Advanced,93
1732,12,Intermediate,33
1732,9,Intermediate,40
64441,13,Beginner,16
64441,16,Intermediate,74
14927,12,Intermediate,67
14927,4,Beginner,89
14927,14,Advanced,84
51605,19,Intermediate,25
3797,9,Advanced,52
3797,1,Intermediate,98
99023,14,Beginner,65
99023,13,Intermediate,37
50879,1,Intermediate,97
43530,8,Advanced,0
21343,3,Intermediate,75
21343,13,Advanced,23
92605,12,Intermediate,97
92605,3,Advanced,96
92605,14,Intermediate,23
71873,12,Intermediate,96
71873,16,Intermediate,92
35723,5,Advanced,79
37696,4,Beginner,57
37696,15,Beginner,74
37696,2,Intermediate,62
19152,18,Intermediate,15
2713,13,Advanced,31
2713,5,Advanced,10
1153,2,Advanced,16
1153,12,Beginner,42
