employee_id,course_id
35969,7
44092,3
84118,3
84118,1
10956,11
10956,12
10956,10
91363,12
91363,11
91363,10
77613,6
74759,4
87412,3
5578,12
3199,1
3199,3
85825,7
85825,8
85825,9
17126,6
17126,4
84948,11
72204,7
81978,9
21660,6
21660,4
21660,5
8101,7
85419,11
58981,2
58981,3
65981,7
65981,8
65981,9
19077,8
19077,9
64310,10
64310,11
64310,12
77039,10
77039,11
38790,7
38790,8
50307,1
34292,4
34292,6
34292,5
75598,5
67055,8
72688,8
72688,7
72688,9
62371,12
62371,10
6350,2
6350,3
6350,1
71191,6
71191,4
40575,7
40575,9
40575,8
96755,7
96755,9
3102,10
3102,12
3102,11
2541,10
2541,12
2541,11
68728,4
68728,6
61400,10
61400,11
6302,2
46369,9
21339,6
15638,10
81368,8
95477,3
43746,5
43746,6
43746,4
21512,9
21512,8
21512,7
1732,9
64441,11
64441,10
64441,12
14927,7
51605,3
51605,2
51605,1
3797,8
3797,9
99023,5
99023,4
50879,8
43530,3
43530,2
21343,12
92605,11
92605,12
71873,6
71873,4
71873,5
35723,11
37696,12
37696,11
19152,1
19152,2
2713,11
2713,10
1153,10
50145,10
50145,12
55410,2
55410,1
75899,11
75899,12
75899,10
7067,3
25669,10
99506,12
55070,7
55070,9
55070,8
73826,12
65238,10
65238,12
14565,12
81125,3
41620,7
41620,8
41620,9
74859,7
74859,9
74859,8
76435,8
95932,8
95932,9
95932,7
89867,9
99782,6
99782,5
35076,3
35076,1
35076,2
81161,8
53340,11
53340,12
53340,10
87574,3
87574,2
87574,1
7949,10
7949,11
52100,8
75169,3
46580,3
46580,2
85747,9
78714,11
78714,10
78714,12
24398,12
24398,10
24398,11
61729,6
61729,5
70455,4
70455,5
83088,4
83088,6
83088,5
58297,9
71867,5
71867,6
71867,4
46077,3
46077,1
46077,2
84384,6
84384,5
84384,4
1203,7
1203,9
1203,8
93896,11
93896,12
78699,11
78699,12
78699,10
86789,4
86789,5
86789,6
51070,5
51070,4
66043,12
66043,11
66043,10
38918,7
38918,8
38918,9
95616,11
95616,12
95616,10
54995,12
52008,3
52008,2
52008,1
20532,4
83490,8
83490,9
83490,7
55728,8
55728,9
55728,7
19168,2
19168,1
88188,11
87490,4
40498,9
40498,8
28283,4
64608,4
64608,6
64608,5
1948,1
1948,3
1948,2
54236,11
23576,5
23576,6
54958,1
54958,2
19482,11
19482,12
64274,1
16614,10
16614,11
16614,12
97839,1
97839,2
43876,10
43876,12
11834,2
11834,1
11834,3
88661,11
94520,5
94520,4
56201,8
68873,2
68873,3
18370,1
48243,2
50527,12
50527,11
50527,10
1379,8
1379,7
39175,7
39175,8
39175,9
49960,1
98155,4
98155,5
98155,6
26386,9
26386,8
26386,7
33272,5
33272,4
53186,4
53186,5
4701,1
4701,3
71973,8
91612,9
91612,8
91612,7
55680,2
55680,3
64676,8
64676,7
64676,9
67873,3
67873,1
42001,3
42001,1
42001,2
20305,5
50898,3
8863,9
8863,7
8863,8
71795,9
71795,7
71795,8
34339,9
34339,7
61215,5
61215,6
65029,5
83737,6
38498,1
38498,2
38498,3
66251,5
32344,3
32344,1
32344,2
77392,2
84084,2
23494,12
23494,10
42561,3
42561,2
13803,2
83424,4
83424,5
80472,7
22117,11
95116,7
11157,9
44819,9
44819,8
35941,10
35941,12
35941,11
33070,5
51059,2
91791,4
91791,5
91791,6
46449,1
96098,1
55471,2
55471,3
55471,1
1209,10
1209,12
1209,11
93294,7
93294,9
93294,8
55469,2
4631,5
4631,6
4631,4
35419,6
8531,9
8531,8
94077,1
94077,3
24323,7
24323,8
24323,9
81804,10
81804,11
81804,12
8780,10
8780,12
59345,10
23765,8
23765,9
23765,7
36471,1
36471,3
36471,2
59807,9
59807,7
59807,8
32796,4
32796,5
6721,9
73089,6
73089,5
97974,10
75563,5
59486,8
85442,1
40902,12
40902,10
40902,11
37978,12
37978,10
1699,6
1699,5
65993,7
62243,1
62243,2
62243,3
37437,11
37437,12
37437,10
27546,9
27546,8
51583,8
51583,7
31073,3
31073,1
31073,2
73644,7
73644,8
73644,9
26971,8
26971,9
26971,7
84291,2
84291,1
84291,3
7482,7
63364,5
6873,3
6873,1
6873,2
66146,12
66146,11
66146,10
23190,11
66577,10
66577,12
66577,11
41903,12
41903,10
20442,7
79062,2
79062,3
79062,1
57564,6
57564,5
57564,4
98379,1
